mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,Title,RunType,MainDataset,date
0.08721132278442383,0.015033478483843992,0.01920003890991211,0.0034880614766330162,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8571428571428571,0.7142857142857143,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8373626373626374,0.06788327565485934,28,0.6666666666666666,0.5757575757575758,0.75,0.7833333333333333,0.7833333333333333,0.7118181818181818,0.08029674074854658,29,0.9393939393939393,0.8181818181818182,1.0,0.9,0.9333333333333333,0.9181818181818182,0.05950515252670823,2,0.9166666666666666,0.8181818181818182,0.9565217391304348,0.9,0.9,0.898274044795784,0.04505952738612546,33,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4999999999999999,0.14907119849998596,35,0.8461538461538461,0.8181818181818182,0.9166666666666666,0.9,0.9,0.8762004662004662,0.03752149222101578,34,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.7333333333333332,0.24944382578492943,5,0.8461538461538461,0.8181818181818182,0.9166666666666666,0.9,0.9,0.8762004662004662,0.03752149222101578,34,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.9705796718597413,0.006300926506925275,0.08261713981628419,0.003393294544393528,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.8571428571428571,0.7142857142857143,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.821978021978022,0.07269378201556584,40,0.6666666666666666,0.5757575757575758,0.75,0.7833333333333333,0.7333333333333334,0.7018181818181819,0.07360206209432091,35,0.9393939393939393,0.8484848484848484,1.0,0.9,0.9,0.9175757575757576,0.050321281829447465,3,0.9166666666666666,0.8181818181818182,0.9565217391304348,0.9,0.8421052631578947,0.8866950974273629,0.05026608805112956,41,1.0,0.8181818181818182,1.0,0.9,0.8,0.9036363636363637,0.0855898348795623,36,1.0,0.8181818181818182,1.0,0.9,0.8,0.9036363636363637,0.0855898348795623,36,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4999999999999999,0.14907119849998596,35,0.8461538461538461,0.8181818181818182,0.9166666666666666,0.9,0.8888888888888888,0.873978243978244,0.03635711428504461,36,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.7,0.26666666666666666,16,0.8461538461538461,0.8181818181818182,0.9166666666666666,0.9,0.8888888888888888,0.873978243978244,0.03635711428504461,36,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.0989753246307373,0.001571034427752177,0.02126317024230957,0.0005768832105393766,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8571428571428571,0.7142857142857143,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8527472527472527,0.07632419935905645,16,0.6666666666666666,0.5757575757575758,0.75,0.95,0.7833333333333333,0.7451515151515151,0.12513867422567856,26,0.9393939393939393,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9042424242424241,0.0609264259969076,17,0.9166666666666666,0.8181818181818182,0.9565217391304348,0.9473684210526315,0.9,0.9077477290063103,0.049214490624983676,26,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,0.3333333333333333,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5666666666666667,0.24944382578492943,16,0.8461538461538461,0.8181818181818182,0.9166666666666666,1.0,0.9,0.8962004662004663,0.06292728923506159,26,1.0,0.3333333333333333,1.0,0.75,0.6666666666666666,0.7499999999999999,0.2472066162365221,1,0.8461538461538461,0.8181818181818182,0.9166666666666666,1.0,0.9,0.8962004662004663,0.06292728923506159,26,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.811832332611084,0.19650433769909542,0.06738901138305664,0.020440233451353367,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.7857142857142857,0.7142857142857143,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.8230769230769232,0.0850069433222581,34,0.6212121212121212,0.5757575757575758,0.75,0.95,0.7333333333333334,0.7260606060606061,0.12989152781872157,28,0.9393939393939393,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9042424242424241,0.0609264259969076,17,0.8695652173913043,0.8181818181818182,0.9565217391304348,0.9473684210526315,0.8421052631578947,0.8867484917828168,0.055736439390557,40,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,0.3333333333333333,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5666666666666667,0.24944382578492943,16,0.8333333333333334,0.8181818181818182,0.9166666666666666,1.0,0.8888888888888888,0.8914141414141415,0.06507120569053092,28,0.5,0.3333333333333333,1.0,0.75,0.5,0.6166666666666666,0.23333333333333334,41,0.8333333333333334,0.8181818181818182,0.9166666666666666,1.0,0.8888888888888888,0.8914141414141415,0.06507120569053092,28,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.10141377449035645,0.0014469888648249482,0.021764326095581054,0.0005865726088309052,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8571428571428571,0.7142857142857143,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8527472527472527,0.07632419935905645,16,0.6666666666666666,0.5757575757575758,0.75,0.95,0.7833333333333333,0.7451515151515151,0.12513867422567856,26,0.9696969696969697,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9103030303030304,0.0654601568862892,4,0.9166666666666666,0.8181818181818182,0.9565217391304348,0.9473684210526315,0.9,0.9077477290063103,0.049214490624983676,26,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,0.3333333333333333,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5666666666666667,0.24944382578492943,16,0.8461538461538461,0.8181818181818182,0.9166666666666666,1.0,0.9,0.8962004662004663,0.06292728923506159,26,1.0,0.3333333333333333,1.0,0.75,0.6666666666666666,0.7499999999999999,0.2472066162365221,1,0.8461538461538461,0.8181818181818182,0.9166666666666666,1.0,0.9,0.8962004662004663,0.06292728923506159,26,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.8207623958587646,0.20093024679244537,0.06768612861633301,0.0202583607026874,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9285714285714286,0.7857142857142857,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.8659340659340661,0.07244417461032752,3,0.9545454545454546,0.7424242424242424,0.75,0.95,0.7333333333333334,0.8260606060606062,0.10319683511067333,1,0.9393939393939393,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9042424242424241,0.0609264259969076,17,0.9523809523809523,0.8571428571428571,0.9565217391304348,0.9473684210526315,0.8421052631578947,0.911103846572954,0.05050603267729424,13,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7666666666666666,0.2,1,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,0.75,0.5,1.0,0.75,0.5,0.7,0.18708286933869706,16,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.10082287788391113,0.0006249333889874376,0.02073073387145996,0.00021510461932714662,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9285714285714286,0.7142857142857143,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.867032967032967,0.08226359240533145,1,0.8333333333333333,0.5757575757575758,0.75,0.95,0.7833333333333333,0.7784848484848486,0.12195002664649861,4,0.9696969696969697,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9103030303030304,0.0654601568862892,4,0.9565217391304348,0.8181818181818182,0.9565217391304348,0.9473684210526315,0.9,0.9157187434990638,0.05308860836707527,11,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,0.6666666666666666,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6333333333333333,0.22110831935702666,4,0.9166666666666666,0.8181818181818182,0.9166666666666666,1.0,0.9,0.9103030303030304,0.057825614159233624,14,1.0,0.3333333333333333,1.0,0.75,0.6666666666666666,0.7499999999999999,0.2472066162365221,1,0.9166666666666666,0.8181818181818182,0.9166666666666666,1.0,0.9,0.9103030303030304,0.057825614159233624,14,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.9827025413513184,0.008991624215720176,0.08005743026733399,0.003988133816647382,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9285714285714286,0.7857142857142857,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.8659340659340661,0.07244417461032752,3,0.9545454545454546,0.7424242424242424,0.75,0.95,0.7333333333333334,0.8260606060606062,0.10319683511067333,1,0.9393939393939393,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9042424242424241,0.0609264259969076,17,0.9523809523809523,0.8571428571428571,0.9565217391304348,0.9473684210526315,0.8421052631578947,0.911103846572954,0.05050603267729424,13,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7666666666666666,0.2,1,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,0.75,0.5,1.0,0.75,0.5,0.7,0.18708286933869706,16,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.10194401741027832,0.001597995872056807,0.021222877502441406,0.00038861647408478005,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9285714285714286,0.7142857142857143,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.867032967032967,0.08226359240533145,1,0.8333333333333333,0.5757575757575758,0.75,0.95,0.7833333333333333,0.7784848484848486,0.12195002664649861,4,0.9696969696969697,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9103030303030304,0.0654601568862892,4,0.9565217391304348,0.8181818181818182,0.9565217391304348,0.9473684210526315,0.9,0.9157187434990638,0.05308860836707527,11,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,1.0,0.8181818181818182,1.0,0.9,0.9,0.9236363636363636,0.06913873942484196,1,0.6666666666666666,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6333333333333333,0.22110831935702666,4,0.9166666666666666,0.8181818181818182,0.9166666666666666,1.0,0.9,0.9103030303030304,0.057825614159233624,14,1.0,0.3333333333333333,1.0,0.75,0.6666666666666666,0.7499999999999999,0.2472066162365221,1,0.9166666666666666,0.8181818181818182,0.9166666666666666,1.0,0.9,0.9103030303030304,0.057825614159233624,14,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
0.9930072784423828,0.006332613462331821,0.07645125389099121,0.0013763276475193625,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9285714285714286,0.7857142857142857,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.8659340659340661,0.07244417461032752,3,0.9545454545454546,0.7424242424242424,0.75,0.95,0.7333333333333334,0.8260606060606062,0.10319683511067333,1,0.9393939393939393,0.8484848484848484,1.0,0.9,0.8333333333333334,0.9042424242424241,0.0609264259969076,17,0.9523809523809523,0.8571428571428571,0.9565217391304348,0.9473684210526315,0.8421052631578947,0.911103846572954,0.05050603267729424,13,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8,0.8854545454545455,0.07172030153933096,38,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.7666666666666666,0.2,1,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,0.75,0.5,1.0,0.75,0.5,0.7,0.18708286933869706,16,1.0,0.9,0.9166666666666666,1.0,0.8888888888888888,0.9411111111111111,0.048888888888888905,1,5,dfcmpltPreLC4_SITE3_Holdout,Holdout,dfcmpltPreLC4_SITE3,2024-05-06 10:33:28.289790
