MainDataset,Title,date,classifier,RunType,cv,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f1,mean_test_recall,mean_test_sensitivity,mean_test_specificity,mean_test_precision,mean_test_NPV,mean_test_PPV
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),3,100,42,,,0.8848539695598518,0.8589575957257802,0.9634522032051063,0.8351393612481361,0.7284984678243105,0.7284984678243105,0.98941672362725,0.9791005447072936,0.8450812570492741,0.9791005447072936
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),3,1000,42,,,0.883944878650761,0.8578084639586709,0.9645337764622346,0.8336372360924361,0.7262002042900919,0.7262002042900919,0.98941672362725,0.9791828972391633,0.8439796654699034,0.9791828972391633
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),6,100,42,,,0.9211065405183051,0.9061131825989897,0.9786014354241533,0.8935909096950887,0.8303626149131766,0.8303626149131766,0.9818637502848029,0.9690578662529882,0.8969876324323891,0.9690578662529882
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),6,1000,42,,,0.913874948580831,0.8971116504233002,0.9790097872420395,0.8828646422653632,0.8123595505617978,0.8123595505617978,0.9818637502848029,0.9687565095976545,0.8871278689361152,0.9687565095976545
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),10,100,42,,,0.9401563142739613,0.931743077049109,0.9828627525145859,0.9221051167358354,0.8891981613891726,0.8891981613891726,0.9742879927090453,0.9588302926675046,0.9299502619055738,0.9588302926675046
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),10,1000,42,,,0.9419703825586179,0.9336242483123026,0.9832058418460023,0.9246692105159446,0.8914453524004087,0.8914453524004087,0.9758031442241968,0.9612547746371275,0.9310916077704399,0.9612547746371275
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),15,100,42,,,0.9428712464006581,0.9362374590715807,0.9853175711064737,0.9267018754280489,0.902732379979571,0.902732379979571,0.9697425381635908,0.9523566868607908,0.9373227183287313,0.9523566868607908
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),15,1000,42,,,0.9455944055944056,0.9396394779082538,0.985138140905472,0.9304823056911429,0.9095250255362615,0.9095250255362615,0.9697539302802459,0.9527506694459718,0.9414010657818439,0.9527506694459718
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),,100,42,,,0.9410612916495268,0.9362176188684173,0.9783968056923813,0.9252859469358892,0.9117722165474975,0.9117722165474975,0.960663021189337,0.9397933439353723,0.9423913858405906,0.9397933439353723
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,RandomForestClassifier(),,1000,42,,,0.9392513368983956,0.934713859469921,0.979267062603812,0.9231493356065478,0.9117722165474975,0.9117722165474975,0.9576555023923445,0.9353101886606693,0.9421995287068636,0.9353101886606693
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,LogisticRegression,HoldoutVal,5,LogisticRegression(),,,,1000,,0.9328959276018101,0.9219201284621154,0.9712619668134493,0.9118137796322603,0.8665219611848827,0.8665219611848827,0.9773182957393484,0.9630274522225741,0.9165575808310237,0.9630274522225741
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,100,42,,0.1,0.9392389962978198,0.9306067134127455,0.9774253753812985,0.9210512243820231,0.8869254341164453,0.8869254341164453,0.9742879927090453,0.9587388093300317,0.9283141595167177,0.9587388093300317
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,1000,42,,0.1,0.9329000411353352,0.9260655789115282,0.970647173608876,0.9139125242573518,0.8914453524004085,0.8914453524004085,0.9606858054226477,0.938675116767075,0.9302216299957546,0.938675116767075
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",6,100,42,,0.1,0.9419539284245164,0.9347095394256837,0.976782110612449,0.9252385260059125,0.8981613891726251,0.8981613891726251,0.9712576896787422,0.9544829106610717,0.9347187311344053,0.9544829106610717
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",6,1000,42,,0.1,0.9220238584944467,0.9143728511779962,0.9652860598019796,0.8997154603748851,0.8756128702757916,0.8756128702757916,0.9531328320802004,0.9266991376328597,0.9203378144327392,0.9266991376328597
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",10,100,42,,0.1,0.9428630193336074,0.9366034788196231,0.9757574877566746,0.9269703738012105,0.904979570990807,0.904979570990807,0.9682273866484392,0.9508031143803501,0.9386436772790312,0.9508031143803501
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",10,1000,42,,0.1,0.9247470176881942,0.9174102262807171,0.9664331784575655,0.9031551364741981,0.8801838610827375,0.8801838610827375,0.9546365914786967,0.9293449878749336,0.9234326946476289,0.9293449878749336
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,XGBClassifier,HoldoutVal,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",15,100,42,,0.1,0.9419662690250925,0.9362488511882361,0.9760345916851281,0.925957313405498,0.9072778345250254,0.9072778345250254,0.9652198678514468,0.9463973955155373,0.9400209476016638,0.9463973955155373
