MainDataset,Title,date,classifier,RunType,cv,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,FeatureSet
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,0.10010390281677246,0.015148266319069415,0.019171762466430663,0.0035193489582641324,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9004524886877828,0.8778280542986425,0.8823529411764706,0.8954545454545455,0.8681818181818182,0.8848539695598518,0.011741084005217168,40,0.8782345931222335,0.848314606741573,0.8561175666438825,0.8693181818181819,0.8428030303030303,0.8589575957257802,0.01312443017050891,40,0.9653558052434458,0.9653558052434456,0.9697966507177034,0.9554063360881542,0.9613464187327825,0.9634522032051063,0.004830522157870109,30,0.8607594936708861,0.8211920529801324,0.8311688311688312,0.8496732026143791,0.8129032258064516,0.8351393612481361,0.01773336948598708,40,0.7640449438202247,0.6966292134831461,0.7272727272727273,0.7386363636363636,0.7159090909090909,0.7284984678243105,0.02254760790194487,40,0.7640449438202247,0.6966292134831461,0.7272727272727273,0.7386363636363636,0.7159090909090909,0.7284984678243105,0.02254760790194487,40,0.9924242424242424,1.0,0.9849624060150376,1.0,0.9696969696969697,0.98941672362725,0.01132930966422535,1,0.9855072463768116,1.0,0.9696969696969697,1.0,0.9402985074626866,0.9791005447072936,0.02239931073337984,2,0.8618421052631579,0.8301886792452831,0.8451612903225807,0.8516129032258064,0.8366013071895425,0.8450812570492741,0.011111194924224703,40,0.9855072463768116,1.0,0.9696969696969697,1.0,0.9402985074626866,0.9791005447072936,0.02239931073337984,2,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,1.056993293762207,0.1391353498777303,0.09198837280273438,0.01111591244346736,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9004524886877828,0.8823529411764706,0.8778280542986425,0.8863636363636364,0.8727272727272727,0.883944878650761,0.009424818998149278,41,0.8782345931222335,0.8539325842696629,0.8504357484620643,0.8579545454545454,0.8484848484848485,0.8578084639586709,0.010710343365842652,41,0.9616956077630234,0.9654409261150835,0.9715481886534518,0.962121212121212,0.9618629476584021,0.9645337764622346,0.0037691880729169716,27,0.8607594936708861,0.8289473684210527,0.8235294117647058,0.8344370860927153,0.8205128205128205,0.8336372360924361,0.014371289934425064,41,0.7640449438202247,0.7078651685393258,0.7159090909090909,0.7159090909090909,0.7272727272727273,0.7262002042900919,0.019906592781663984,41,0.7640449438202247,0.7078651685393258,0.7159090909090909,0.7159090909090909,0.7272727272727273,0.7262002042900919,0.019906592781663984,41,0.9924242424242424,1.0,0.9849624060150376,1.0,0.9696969696969697,0.98941672362725,0.01132930966422535,1,0.9855072463768116,1.0,0.9692307692307692,1.0,0.9411764705882353,0.9791828972391633,0.022137001808705606,1,0.8618421052631579,0.8354430379746836,0.8397435897435898,0.8407643312101911,0.8421052631578947,0.8439796654699034,0.009205833589065038,41,0.9855072463768116,1.0,0.9692307692307692,1.0,0.9411764705882353,0.9791828972391633,0.022137001808705606,1,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,0.12000026702880859,0.02147521912793264,0.020189332962036132,0.0033735618835162473,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9411764705882353,0.9049773755656109,0.9366515837104072,0.9181818181818182,0.9045454545454545,0.9211065405183051,0.01541054179627129,31,0.9287963908750425,0.8838525706503235,0.9281442241968558,0.8996212121212122,0.8901515151515151,0.9061131825989897,0.018933304435828958,36,0.9808903643173306,0.9856571331290432,0.9800495557074504,0.9702134986225895,0.9761966253443527,0.9786014354241533,0.005162551951169996,7,0.9221556886227545,0.8679245283018868,0.9176470588235294,0.8875,0.8727272727272727,0.8935909096950887,0.02247575835577542,34,0.8651685393258427,0.7752808988764045,0.8863636363636364,0.8068181818181818,0.8181818181818182,0.8303626149131766,0.040210133941696924,38,0.8651685393258427,0.7752808988764045,0.8863636363636364,0.8068181818181818,0.8181818181818182,0.8303626149131766,0.040210133941696924,38,0.9924242424242424,0.9924242424242424,0.9699248120300752,0.9924242424242424,0.9621212121212122,0.9818637502848029,0.01316721718870415,3,0.9871794871794872,0.9857142857142858,0.9512195121951219,0.9861111111111112,0.935064935064935,0.9690578662529882,0.021773235224536704,3,0.916083916083916,0.8675496688741722,0.9280575539568345,0.8851351351351351,0.8881118881118881,0.8969876324323891,0.021981184229763417,38,0.9871794871794872,0.9857142857142858,0.9512195121951219,0.9861111111111112,0.935064935064935,0.9690578662529882,0.021773235224536704,3,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,1.0807321071624756,0.0870920851528754,0.08369355201721192,0.014545978120528436,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.918552036199095,0.8959276018099548,0.9230769230769231,0.9181818181818182,0.9136363636363637,0.913874948580831,0.009457957367903105,37,0.9007065032345931,0.8726166155941437,0.9110987696514012,0.8996212121212122,0.9015151515151516,0.8971116504233002,0.012917104351201369,39,0.98016683690841,0.9844228804902961,0.9805194805194805,0.9742165977961432,0.9757231404958677,0.9790097872420395,0.0036522932011297518,6,0.8888888888888888,0.8535031847133758,0.8982035928143712,0.8875,0.8862275449101796,0.8828646422653632,0.015273937255532381,38,0.8089887640449438,0.7528089887640449,0.8522727272727273,0.8068181818181818,0.8409090909090909,0.8123595505617978,0.03463084263751756,39,0.8089887640449438,0.7528089887640449,0.8522727272727273,0.8068181818181818,0.8409090909090909,0.8123595505617978,0.03463084263751756,39,0.9924242424242424,0.9924242424242424,0.9699248120300752,0.9924242424242424,0.9621212121212122,0.9818637502848029,0.01316721718870415,3,0.9863013698630136,0.9852941176470589,0.9493670886075949,0.9861111111111112,0.9367088607594937,0.9687565095976545,0.02137988885752875,4,0.8851351351351351,0.8562091503267973,0.9084507042253521,0.8851351351351351,0.900709219858156,0.8871278689361152,0.017905449081689416,39,0.9863013698630136,0.9852941176470589,0.9493670886075949,0.9861111111111112,0.9367088607594937,0.9687565095976545,0.02137988885752875,4,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,0.1332167148590088,0.0017843990664659136,0.021927499771118165,0.0002631884800829128,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9592760180995475,0.9230769230769231,0.9457013574660633,0.9227272727272727,0.95,0.9401563142739613,0.014755919625364544,11,0.9530983997276132,0.9081545795028941,0.9395078605604921,0.9109848484848485,0.946969696969697,0.931743077049109,0.01863068916332188,13,0.9833588695948245,0.9891045284303712,0.98257006151743,0.9788653581267218,0.9804149449035813,0.9828627525145859,0.0035003568604534525,4,0.9479768786127167,0.896969696969697,0.9302325581395349,0.8982035928143712,0.9371428571428572,0.9221051167358354,0.02080677377933398,13,0.9213483146067416,0.8314606741573034,0.9090909090909091,0.8522727272727273,0.9318181818181818,0.8891981613891726,0.03985705714411305,18,0.9213483146067416,0.8314606741573034,0.9090909090909091,0.8522727272727273,0.9318181818181818,0.8891981613891726,0.03985705714411305,18,0.9848484848484849,0.9848484848484849,0.9699248120300752,0.9696969696969697,0.9621212121212122,0.9742879927090453,0.009068554198564935,7,0.9761904761904762,0.9736842105263158,0.9523809523809523,0.9493670886075949,0.9425287356321839,0.9588302926675046,0.013556561737362591,7,0.948905109489051,0.896551724137931,0.9416058394160584,0.9078014184397163,0.9548872180451128,0.9299502619055738,0.02333676973110364,17,0.9761904761904762,0.9736842105263158,0.9523809523809523,0.9493670886075949,0.9425287356321839,0.9588302926675046,0.013556561737362591,7,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,1.171461009979248,0.1508588561255572,0.09175076484680175,0.017851749979945743,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9592760180995475,0.9276018099547512,0.9457013574660633,0.9363636363636364,0.9409090909090909,0.9419703825586179,0.010511165651518955,6,0.9530983997276132,0.913772557030984,0.9395078605604921,0.9261363636363636,0.9356060606060606,0.9336242483123026,0.013175318668253314,11,0.9839972761321075,0.9883384405856316,0.9835953520164046,0.9800705922865014,0.9800275482093663,0.9832058418460023,0.0030676700104523996,3,0.9479768786127167,0.9036144578313253,0.9302325581395349,0.9166666666666666,0.9248554913294798,0.9246692105159446,0.014707659556175397,10,0.9213483146067416,0.8426966292134831,0.9090909090909091,0.875,0.9090909090909091,0.8914453524004087,0.028857602528546352,15,0.9213483146067416,0.8426966292134831,0.9090909090909091,0.875,0.9090909090909091,0.8914453524004087,0.028857602528546352,15,0.9848484848484849,0.9848484848484849,0.9699248120300752,0.9772727272727273,0.9621212121212122,0.9758031442241968,0.008803932119348132,6,0.9761904761904762,0.974025974025974,0.9523809523809523,0.9625,0.9411764705882353,0.9612547746371275,0.01318796660473985,6,0.948905109489051,0.9027777777777778,0.9416058394160584,0.9214285714285714,0.9407407407407408,0.9310916077704399,0.016828683358200536,15,0.9761904761904762,0.974025974025974,0.9523809523809523,0.9625,0.9411764705882353,0.9612547746371275,0.01318796660473985,6,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,0.1439591884613037,0.006686940869813634,0.02313828468322754,0.0006141894162888963,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9638009049773756,0.9321266968325792,0.9457013574660633,0.9272727272727272,0.9454545454545454,0.9428712464006581,0.012739644541254964,2,0.958716377255703,0.9212206332992849,0.9395078605604921,0.9204545454545454,0.9412878787878788,0.9362374590715807,0.014255591509693277,5,0.9836993530813756,0.9901259788900239,0.985346889952153,0.9809314738292011,0.9864841597796142,0.9853175711064737,0.003044307903033728,1,0.9540229885057471,0.9112426035502958,0.9302325581395349,0.9069767441860465,0.9310344827586207,0.9267018754280489,0.016767530026804707,4,0.9325842696629213,0.8651685393258427,0.9090909090909091,0.8863636363636364,0.9204545454545454,0.902732379979571,0.02418519899224282,8,0.9325842696629213,0.8651685393258427,0.9090909090909091,0.8863636363636364,0.9204545454545454,0.902732379979571,0.02418519899224282,8,0.9848484848484849,0.9772727272727273,0.9699248120300752,0.9545454545454546,0.9621212121212122,0.9697425381635908,0.010714126732211879,13,0.9764705882352941,0.9625,0.9523809523809523,0.9285714285714286,0.9418604651162791,0.9523566868607908,0.01649410083973315,13,0.9558823529411765,0.9148936170212766,0.9416058394160584,0.9264705882352942,0.9477611940298507,0.9373227183287313,0.01478242369291309,8,0.9764705882352941,0.9625,0.9523809523809523,0.9285714285714286,0.9418604651162791,0.9523566868607908,0.01649410083973315,13,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,1.3899641513824463,0.01579909306318338,0.09908418655395508,0.017417257415768685,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9592760180995475,0.9411764705882353,0.9457013574660633,0.9318181818181818,0.95,0.9455944055944056,0.009120413507748996,1,0.9530983997276132,0.9324565883554647,0.9414302802460697,0.9242424242424243,0.946969696969697,0.9396394779082538,0.010263964389625494,1,0.9862955396663262,0.9908069458631257,0.9852187286397813,0.9808453856749312,0.9825241046831956,0.985138140905472,0.0034276040834138187,2,0.9479768786127167,0.9239766081871345,0.9310344827586207,0.9122807017543859,0.9371428571428572,0.9304823056911429,0.012036198841389045,1,0.9213483146067416,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9095250255362615,0.01882346411527892,4,0.9213483146067416,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9095250255362615,0.01882346411527892,4,0.9848484848484849,0.9772727272727273,0.9624060150375939,0.9621212121212122,0.9621212121212122,0.9697539302802459,0.009538202317327674,12,0.9761904761904762,0.9634146341463414,0.9418604651162791,0.9397590361445783,0.9425287356321839,0.9527506694459718,0.014525919595152911,12,0.948905109489051,0.9280575539568345,0.9481481481481482,0.927007299270073,0.9548872180451128,0.9414010657818439,0.011566675559597795,4,0.9761904761904762,0.9634146341463414,0.9418604651162791,0.9397590361445783,0.9425287356321839,0.9527506694459718,0.014525919595152911,12,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,0.14887018203735353,0.0019344904832187294,0.023306846618652344,0.00039438561127725963,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9457013574660633,0.9411764705882353,0.9457013574660633,0.9318181818181818,0.9409090909090909,0.9410612916495268,0.005070146589028761,10,0.9435648621041879,0.9324565883554647,0.9414302802460697,0.9242424242424243,0.9393939393939394,0.9362176188684173,0.007053984274638982,6,0.9795284303711269,0.9841249574395641,0.9830827067669173,0.9630251377410468,0.9822227961432508,0.9783968056923813,0.007835513311441257,8,0.9325842696629213,0.9239766081871345,0.9310344827586207,0.9122807017543859,0.9265536723163842,0.9252859469358892,0.007194012462645534,7,0.9325842696629213,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9117722165474975,0.020679957662141518,1,0.9325842696629213,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9117722165474975,0.020679957662141518,1,0.9545454545454546,0.9772727272727273,0.9624060150375939,0.9621212121212122,0.946969696969697,0.960663021189337,0.010059606695611897,22,0.9325842696629213,0.9634146341463414,0.9418604651162791,0.9397590361445783,0.9213483146067416,0.9397933439353723,0.013816145461246782,21,0.9545454545454546,0.9280575539568345,0.9481481481481482,0.927007299270073,0.9541984732824428,0.9423913858405906,0.012348261969109467,1,0.9325842696629213,0.9634146341463414,0.9418604651162791,0.9397590361445783,0.9213483146067416,0.9397933439353723,0.013816145461246782,21,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
dfcmplt,dfcmplt_HoldoutVal,2024-04-30 16:56:56.476517,RandomForestClassifier,HoldoutVal,5,1.3905685901641847,0.07639073550903129,0.11186494827270507,0.0037396368253054726,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9502262443438914,0.9366515837104072,0.9366515837104072,0.9318181818181818,0.9409090909090909,0.9392513368983956,0.006196224165095943,12,0.9473527408920668,0.928668709567586,0.9339114832535884,0.9242424242424243,0.9393939393939394,0.934713859469921,0.008105344808904288,8,0.9800817160367723,0.9861678583588696,0.9843643198906357,0.965866046831956,0.9798553719008264,0.979267062603812,0.007130217467418768,5,0.9378531073446328,0.9186046511627907,0.9204545454545454,0.9122807017543859,0.9265536723163842,0.9231493356065478,0.00864677586420121,11,0.9325842696629213,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9117722165474975,0.020679957662141518,1,0.9325842696629213,0.8876404494382022,0.9204545454545454,0.8863636363636364,0.9318181818181818,0.9117722165474975,0.020679957662141518,1,0.9621212121212122,0.9696969696969697,0.9473684210526315,0.9621212121212122,0.946969696969697,0.9576555023923445,0.008998805938944544,23,0.9431818181818182,0.9518072289156626,0.9204545454545454,0.9397590361445783,0.9213483146067416,0.9353101886606693,0.012405895329185805,23,0.9548872180451128,0.927536231884058,0.9473684210526315,0.927007299270073,0.9541984732824428,0.9421995287068636,0.012469849146863568,2,0.9431818181818182,0.9518072289156626,0.9204545454545454,0.9397590361445783,0.9213483146067416,0.9353101886606693,0.012405895329185805,23,FS_dfcmplt_Boruta_T1000_itrr500_th100_topR5_MD7
