mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,Title,RunType
0.12267775535583496,0.016084455550641523,0.02461400032043457,0.0036936646627247537,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8687782805429864,0.8371040723981901,0.8461538461538461,0.8727272727272727,0.8272727272727273,0.8504072398190046,0.017697176600572555,40,0.8389087504256043,0.797752808988764,0.810663021189337,0.8409090909090908,0.7859848484848485,0.8148437039995289,0.021913197835459565,40,0.9454800817160368,0.9518641470888662,0.9401913875598086,0.946840564738292,0.9457644628099174,0.9460281287825841,0.0037190478697464433,41,0.8079470198675497,0.7464788732394366,0.7671232876712328,0.8108108108108109,0.7285714285714285,0.7721862840320918,0.03273971537762761,40,0.6853932584269663,0.5955056179775281,0.6363636363636364,0.6818181818181818,0.5795454545454546,0.6357252298263534,0.04327970697493595,40,0.6853932584269663,0.5955056179775281,0.6363636363636364,0.6818181818181818,0.5795454545454546,0.6357252298263534,0.04327970697493595,40,0.9924242424242424,1.0,0.9849624060150376,1.0,0.9924242424242424,0.9939621781727045,0.005632707634149735,1,0.9838709677419355,1.0,0.9655172413793104,1.0,0.9807692307692307,0.9860314879780953,0.012987934157140262,1,0.8238993710691824,0.7857142857142857,0.803680981595092,0.825,0.7797619047619048,0.8036113086280932,0.01875198093262927,40,0.9838709677419355,1.0,0.9655172413793104,1.0,0.9807692307692307,0.9860314879780953,0.012987934157140262,1,5,dfcmplt_Holdout,Holdout
1.086876392364502,0.09531469687644126,0.08768501281738281,0.00984792498321849,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.8552036199095022,0.8371040723981901,0.8552036199095022,0.8454545454545455,0.8227272727272728,0.8431386260798025,0.01224361726443443,41,0.8220548178413347,0.797752808988764,0.8220266575529733,0.8068181818181819,0.7821969696969697,0.8061698871796447,0.015164013008699719,41,0.953438883214164,0.9610146407899217,0.949419002050581,0.9482610192837465,0.9477444903581267,0.9519756071393081,0.004941296346922672,40,0.7837837837837838,0.7464788732394366,0.7837837837837838,0.7605633802816901,0.723404255319149,0.7596028152815686,0.02303447311577945,41,0.651685393258427,0.5955056179775281,0.6590909090909091,0.6136363636363636,0.5795454545454546,0.6198927477017365,0.031013051028825737,41,0.651685393258427,0.5955056179775281,0.6590909090909091,0.6136363636363636,0.5795454545454546,0.6198927477017365,0.031013051028825737,41,0.9924242424242424,1.0,0.9849624060150376,1.0,0.9848484848484849,0.9924470266575529,0.006750595759356974,2,0.9830508474576272,1.0,0.9666666666666667,1.0,0.9622641509433962,0.9823963330135381,0.015955774692488354,2,0.808641975308642,0.7857142857142857,0.8136645962732919,0.7951807228915663,0.7784431137724551,0.7963289387920482,0.013311858509711165,41,0.9830508474576272,1.0,0.9666666666666667,1.0,0.9622641509433962,0.9823963330135381,0.015955774692488354,2,5,dfcmplt_Holdout,Holdout
0.1285095691680908,0.017377584449245306,0.024335813522338868,0.003218150101320291,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8914027149321267,0.8778280542986425,0.8687782805429864,0.9136363636363637,0.8590909090909091,0.8821472645002058,0.01900635451988627,39,0.8669986380660538,0.848314606741573,0.8429169514695831,0.8920454545454546,0.831439393939394,0.8563430089524117,0.02122786543880237,39,0.9756554307116105,0.9789751447054817,0.9671052631578947,0.9670282369146006,0.9659090909090908,0.9709346332797357,0.005331338229583357,15,0.8461538461538461,0.8211920529801324,0.8129032258064516,0.8789808917197452,0.7973856209150327,0.8313231275150417,0.028582856780756415,39,0.7415730337078652,0.6966292134831461,0.7159090909090909,0.7840909090909091,0.6931818181818182,0.7262768130745659,0.033639835241077345,39,0.7415730337078652,0.6966292134831461,0.7159090909090909,0.7840909090909091,0.6931818181818182,0.7262768130745659,0.033639835241077345,39,0.9924242424242424,1.0,0.9699248120300752,1.0,0.9696969696969697,0.9864092048302574,0.0138320939346857,4,0.9850746268656716,1.0,0.9402985074626866,1.0,0.9384615384615385,0.9727669345579792,0.027805819376726257,5,0.8506493506493507,0.8301886792452831,0.8376623376623377,0.8741721854304636,0.8258064516129032,0.8436958009200677,0.017412844110694107,39,0.9850746268656716,1.0,0.9402985074626866,1.0,0.9384615384615385,0.9727669345579792,0.027805819376726257,5,5,dfcmplt_Holdout,Holdout
1.2867931365966796,0.16361709984817438,0.0967862606048584,0.005795032040431663,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9095022624434389,0.8687782805429864,0.8733031674208145,0.9136363636363637,0.8590909090909091,0.8848621966269026,0.022322850644915883,38,0.8894705481784133,0.8370786516853932,0.8466763499658236,0.8920454545454546,0.8295454545454546,0.8589632917841079,0.0265346480849933,38,0.9759959141981613,0.9794007490636705,0.9723171565276828,0.9675447658402204,0.9702134986225895,0.9730944168504649,0.004192635510572965,11,0.875,0.8053691275167785,0.8181818181818182,0.8789808917197452,0.7947019867549668,0.8344467648346617,0.0355459089235494,38,0.7865168539325843,0.6741573033707865,0.7159090909090909,0.7840909090909091,0.6818181818181818,0.7284984678243105,0.04847093215419181,38,0.7865168539325843,0.6741573033707865,0.7159090909090909,0.7840909090909091,0.6818181818181818,0.7284984678243105,0.04847093215419181,38,0.9924242424242424,1.0,0.9774436090225563,1.0,0.9772727272727273,0.9894281157439051,0.010236094164987539,3,0.9859154929577465,1.0,0.9545454545454546,1.0,0.9523809523809523,0.9785683799768308,0.021144696986053944,3,0.8733333333333333,0.8198757763975155,0.8387096774193549,0.8741721854304636,0.821656050955414,0.8455494047072163,0.023950029977843488,38,0.9859154929577465,1.0,0.9545454545454546,1.0,0.9523809523809523,0.9785683799768308,0.021144696986053944,3,5,dfcmplt_Holdout,Holdout
0.1479487419128418,0.018583509177647745,0.02683234214782715,0.002626801877044992,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9366515837104072,0.9049773755656109,0.9004524886877828,0.9136363636363637,0.9,0.9111435623200329,0.013662892148703762,37,0.9231784133469527,0.8820224719101124,0.8826896787423103,0.8939393939393939,0.884469696969697,0.8932599309816933,0.015561852008848557,37,0.9786346612189308,0.9861252979230507,0.9780416951469583,0.9727100550964187,0.9828684573002755,0.9796760333371267,0.004562125700112963,6,0.9156626506024096,0.8662420382165605,0.8641975308641975,0.8805031446540881,0.8658536585365854,0.8784918045747683,0.01949268096158724,37,0.8539325842696629,0.7640449438202247,0.7954545454545454,0.7954545454545454,0.8068181818181818,0.8031409601634321,0.02912034160001948,37,0.8539325842696629,0.7640449438202247,0.7954545454545454,0.7954545454545454,0.8068181818181818,0.8031409601634321,0.02912034160001948,37,0.9924242424242424,1.0,0.9699248120300752,0.9924242424242424,0.9621212121212122,0.9833789017999545,0.014647861150407065,6,0.987012987012987,1.0,0.9459459459459459,0.9859154929577465,0.9342105263157895,0.9706169904464937,0.02569173096607144,6,0.9097222222222222,0.8627450980392157,0.8775510204081632,0.8791946308724832,0.8819444444444444,0.8822314831973058,0.015275284179840766,37,0.987012987012987,1.0,0.9459459459459459,0.9859154929577465,0.9342105263157895,0.9706169904464937,0.02569173096607144,6,5,dfcmplt_Holdout,Holdout
1.3681259155273438,0.2150482646557564,0.09546108245849609,0.013418901117993811,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9321266968325792,0.9004524886877828,0.9140271493212669,0.9227272727272727,0.8909090909090909,0.9120485396955985,0.014848752965842545,36,0.9175604358188627,0.8764044943820224,0.8997351332877649,0.9034090909090908,0.8731060606060606,0.8940430430007602,0.016868112753885882,36,0.9827204630575417,0.9886789240721825,0.9803485987696514,0.977875344352617,0.9829545454545455,0.9825155751413076,0.0035902387777268473,5,0.9090909090909091,0.8589743589743589,0.8848484848484849,0.8930817610062893,0.8518518518518519,0.8795694731543788,0.02132787062025841,36,0.8426966292134831,0.7528089887640449,0.8295454545454546,0.8068181818181818,0.7840909090909091,0.8031920326864146,0.03216074932419028,36,0.8426966292134831,0.7528089887640449,0.8295454545454546,0.8068181818181818,0.7840909090909091,0.8031920326864146,0.03216074932419028,36,0.9924242424242424,1.0,0.9699248120300752,1.0,0.9621212121212122,0.984894053315106,0.015847797823072177,5,0.9868421052631579,1.0,0.948051948051948,1.0,0.9324324324324325,0.9734652971495077,0.02798804818232776,4,0.903448275862069,0.8571428571428571,0.8958333333333334,0.8859060402684564,0.8698630136986302,0.8824387040610692,0.01691666917794034,36,0.9868421052631579,1.0,0.948051948051948,1.0,0.9324324324324325,0.9734652971495077,0.02798804818232776,4,5,dfcmplt_Holdout,Holdout
0.1627295970916748,0.011815078906277539,0.02717480659484863,0.0027307597228677675,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9547511312217195,0.9276018099547512,0.9321266968325792,0.9272727272727272,0.9136363636363637,0.9310777457836281,0.013358829165501115,18,0.9456503234593122,0.9101123595505618,0.9224624060150376,0.9128787878787878,0.9015151515151516,0.9185238056837701,0.015121332665438966,20,0.9838270343888321,0.989445011916922,0.9785543403964456,0.9789084022038568,0.9860537190082644,0.9833577015828642,0.004181212120789257,4,0.9411764705882353,0.9012345679012346,0.9112426035502958,0.9024390243902439,0.8862275449101796,0.9084640422680378,0.01822553880793298,19,0.898876404494382,0.8202247191011236,0.875,0.8409090909090909,0.8409090909090909,0.8551838610827375,0.02804067562124059,33,0.898876404494382,0.8202247191011236,0.875,0.8409090909090909,0.8409090909090909,0.8551838610827375,0.02804067562124059,33,0.9924242424242424,1.0,0.9699248120300752,0.9848484848484849,0.9621212121212122,0.9818637502848029,0.014011868170703195,7,0.9876543209876543,1.0,0.9506172839506173,0.9736842105263158,0.9367088607594937,0.9697329352448161,0.02327608846950801,7,0.9357142857142857,0.8918918918918919,0.9214285714285714,0.9027777777777778,0.900709219858156,0.9105043493341365,0.015855267655677283,31,0.9876543209876543,1.0,0.9506172839506173,0.9736842105263158,0.9367088607594937,0.9697329352448161,0.02327608846950801,7,5,dfcmplt_Holdout,Holdout
1.6502593994140624,0.12902219702398632,0.11560840606689453,0.006435820162514061,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9592760180995475,0.9140271493212669,0.9366515837104072,0.9318181818181818,0.9227272727272727,0.9329000411353352,0.015301032086764269,13,0.9512683009874021,0.8950885257065032,0.9300666438824333,0.9166666666666667,0.9128787878787878,0.9211937850243587,0.018731378363241454,18,0.9852740892066734,0.991913517194416,0.9817156527682844,0.9818353994490359,0.9848484848484849,0.9851174286933789,0.0037047938573512053,2,0.9473684210526315,0.8819875776397516,0.9186046511627907,0.9079754601226994,0.8994082840236687,0.9110688788003083,0.021751806452238977,17,0.9101123595505618,0.797752808988764,0.8977272727272727,0.8409090909090909,0.8636363636363636,0.8620275791624106,0.040413955609581484,29,0.9101123595505618,0.797752808988764,0.8977272727272727,0.8409090909090909,0.8636363636363636,0.8620275791624106,0.040413955609581484,29,0.9924242424242424,0.9924242424242424,0.9624060150375939,0.9924242424242424,0.9621212121212122,0.9803599908863067,0.014775904677074625,8,0.9878048780487805,0.9861111111111112,0.9404761904761905,0.9866666666666667,0.9382716049382716,0.9678660902482041,0.023280626663350557,10,0.9424460431654677,0.8791946308724832,0.9343065693430657,0.903448275862069,0.9136690647482014,0.9146129167982574,0.022550024016727933,27,0.9878048780487805,0.9861111111111112,0.9404761904761905,0.9866666666666667,0.9382716049382716,0.9678660902482041,0.023280626663350557,10,5,dfcmplt_Holdout,Holdout
0.19037866592407227,0.005254310719302303,0.02860884666442871,0.0015788872133447216,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.9592760180995475,0.9230769230769231,0.9411764705882353,0.9409090909090909,0.9409090909090909,0.9410695187165775,0.011447908372273769,4,0.9512683009874021,0.906324480762683,0.9357484620642516,0.928030303030303,0.9356060606060606,0.9313955214901399,0.014638892544693943,6,0.9841249574395642,0.989487572352741,0.9799213943950786,0.9820075757575757,0.9848915289256198,0.9840866057741158,0.0032090859681607625,3,0.9473684210526315,0.8957055214723927,0.9248554913294798,0.9212121212121213,0.9248554913294798,0.922799409279221,0.016423699499282948,4,0.9101123595505618,0.8202247191011236,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.8824310520939734,0.035806756098077965,14,0.9101123595505618,0.8202247191011236,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.8824310520939734,0.035806756098077965,14,0.9924242424242424,0.9924242424242424,0.9624060150375939,0.9924242424242424,0.9621212121212122,0.9803599908863067,0.014775904677074625,8,0.9878048780487805,0.9864864864864865,0.9411764705882353,0.987012987012987,0.9411764705882353,0.9687314585449449,0.02250246810681387,9,0.9424460431654677,0.891156462585034,0.9411764705882353,0.916083916083916,0.9407407407407408,0.9263207266326787,0.02014931028524866,14,0.9878048780487805,0.9864864864864865,0.9411764705882353,0.987012987012987,0.9411764705882353,0.9687314585449449,0.02250246810681387,9,5,dfcmplt_Holdout,Holdout
1.8995463371276855,0.1304755563860897,0.12228507995605468,0.00681698428824649,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9592760180995475,0.9321266968325792,0.9366515837104072,0.9409090909090909,0.9545454545454546,0.9447017688194158,0.010455899887119542,1,0.9512683009874021,0.9175604358188627,0.9300666438824333,0.928030303030303,0.9526515151515151,0.9359154397741033,0.013777492743753991,1,0.9851889683350358,0.9913602315287708,0.9822282980177717,0.9822658402203857,0.9863119834710744,0.9854710643146076,0.0033543407219856045,1,0.9473684210526315,0.9090909090909091,0.9186046511627907,0.9212121212121213,0.9431818181818182,0.9278915841400541,0.01481530401041044,1,0.9101123595505618,0.8426966292134831,0.8977272727272727,0.8636363636363636,0.9431818181818182,0.8914708886618998,0.035254378957567584,7,0.9101123595505618,0.8426966292134831,0.8977272727272727,0.8636363636363636,0.9431818181818182,0.8914708886618998,0.035254378957567584,7,0.9924242424242424,0.9924242424242424,0.9624060150375939,0.9924242424242424,0.9621212121212122,0.9803599908863067,0.014775904677074625,8,0.9878048780487805,0.9868421052631579,0.9404761904761905,0.987012987012987,0.9431818181818182,0.9690635957965869,0.02225577614823483,8,0.9424460431654677,0.903448275862069,0.9343065693430657,0.916083916083916,0.9621212121212122,0.931681203315146,0.020443786446943783,7,0.9878048780487805,0.9868421052631579,0.9404761904761905,0.987012987012987,0.9431818181818182,0.9690635957965869,0.02225577614823483,8,5,dfcmplt_Holdout,Holdout
