mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,Title,RunType,MainDataset,date
0.09908666610717773,0.004833797297837404,0.022544145584106445,0.00025383421881696323,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.96875,0.9354838709677419,1.0,0.967741935483871,1.0,0.9743951612903226,0.02408915650200622,37,0.9166666666666667,0.8,1.0,0.9,1.0,0.9233333333333335,0.07423685817106693,37,1.0,0.9846153846153847,1.0,0.9538461538461539,1.0,0.9876923076923078,0.017941390445677826,31,0.9811320754716981,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9850454227812719,0.013896347473632997,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8333333333333334,0.6,1.0,0.8,1.0,0.8466666666666667,0.14847371634213394,37,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
1.0296486854553222,0.010089427354222788,0.08912582397460937,0.002602481147465195,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.96875,0.9354838709677419,1.0,0.967741935483871,1.0,0.9743951612903226,0.02408915650200622,37,0.9166666666666667,0.8,1.0,0.9,1.0,0.9233333333333335,0.07423685817106693,37,1.0,0.9846153846153847,1.0,0.9538461538461539,1.0,0.9876923076923078,0.017941390445677826,31,0.9811320754716981,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9850454227812719,0.013896347473632997,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8333333333333334,0.6,1.0,0.8,1.0,0.8466666666666667,0.14847371634213394,37,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.09557089805603028,0.01708561523898362,0.02065110206604004,0.003860256697026135,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.96875,0.9354838709677419,1.0,0.967741935483871,1.0,0.9743951612903226,0.02408915650200622,37,0.9166666666666667,0.8,1.0,0.9,1.0,0.9233333333333335,0.07423685817106693,37,1.0,0.976923076923077,1.0,0.9,1.0,0.9753846153846155,0.038737471729274366,39,0.9811320754716981,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9850454227812719,0.013896347473632997,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8333333333333334,0.6,1.0,0.8,1.0,0.8466666666666667,0.14847371634213394,37,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.9578074932098388,0.11371545771968926,0.0761861801147461,0.01567879114016722,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.96875,0.9354838709677419,1.0,0.967741935483871,1.0,0.9743951612903226,0.02408915650200622,37,0.9166666666666667,0.8,1.0,0.9,1.0,0.9233333333333335,0.07423685817106693,37,1.0,0.976923076923077,1.0,0.9,1.0,0.9753846153846155,0.038737471729274366,39,0.9811320754716981,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9850454227812719,0.013896347473632997,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8333333333333334,0.6,1.0,0.8,1.0,0.8466666666666667,0.14847371634213394,37,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9708994708994709,0.026874973754921254,37,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.100848388671875,0.018429450329516737,0.020981502532958985,0.003380384420558841,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.9846153846153847,1.0,0.9,1.0,0.976923076923077,0.03892034043284159,38,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.9070493221282959,0.1363929196305461,0.08349761962890626,0.01732046512157631,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.976923076923077,1.0,0.9,1.0,0.9753846153846155,0.038737471729274366,39,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.1064873218536377,0.0050378021681334465,0.02209792137145996,0.001029867509488196,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.9846153846153847,1.0,0.9307692307692308,1.0,0.9830769230769232,0.026823993498711826,34,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.9203032970428466,0.13818342337869596,0.07421889305114746,0.02045243798982393,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.976923076923077,1.0,0.9153846153846155,1.0,0.9784615384615385,0.03278042423486538,35,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
0.11080493927001953,0.0025028544686917648,0.023125886917114258,0.0010187294392422946,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.9846153846153847,1.0,0.9346153846153846,1.0,0.9838461538461539,0.025326273281775884,33,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
1.0387380123138428,0.06008205232595472,0.0881615161895752,0.008145558383468329,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.9354838709677419,1.0,0.967741935483871,1.0,0.9806451612903226,0.02580645161290324,31,1.0,0.8,1.0,0.9,1.0,0.9399999999999998,0.07999999999999999,31,1.0,0.976923076923077,1.0,0.9153846153846155,1.0,0.9784615384615385,0.03278042423486538,35,1.0,0.9629629629629629,1.0,0.9811320754716981,1.0,0.9888190076869321,0.014850372001833137,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.6,1.0,0.8,1.0,0.8800000000000001,0.16,31,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.9285714285714286,1.0,0.9629629629629629,1.0,0.9783068783068783,0.02870827506084769,31,5,dfcmpltPreLC4_SITE4_Holdout,Holdout,dfcmpltPreLC4_SITE4,2024-10-09 02:30:47.672014
